"Player","Team","Points","Cost"
"Lloris","Tottenham",54,"£5.5"
"Alisson","Liverpool",62,"£5.4"
"Ederson","Manchester City",55,"£5.4"
"Pope","Newcastle",65,"£5.3"
"Sá","Wolves",60,"£5.1"
"Schmeichel","Leicester",0,"£5.0"
"Fabianski","West Ham",50,"£5.0"
"Ramsdale","Arsenal",52,"£4.9"
"Martínez","Aston Villa",49,"£4.9"
"De Gea","Manchester Utd",46,"£4.9"
"Mendy","Chelsea",21,"£4.8"
"Henderson","Nottingham Forest",61,"£4.7"
"Raya","Brentford",58,"£4.6"
"Sánchez","Brighton",47,"£4.6"
"Leno","Fulham",42,"£4.5"
"Arrizabalaga","Chelsea",29,"£4.5"
"Guaita","Crystal Palace",46,"£4.5"
"Pickford","Everton",53,"£4.5"
"Meslier","Leeds",43,"£4.5"
"Samba","Nottingham Forest",0,"£4.5"
"Bazunu","Southampton",32,"£4.5"
"Neto","Bournemouth",25,"£4.5"
"Butland","Crystal Palace",0,"£4.4"
"Johnstone","Crystal Palace",0,"£4.4"
"Rodák","Fulham",7,"£4.4"
"Travers","Bournemouth",11,"£4.3"
"McCarthy","Southampton",0,"£4.3"
"Areola","West Ham",2,"£4.3"
"Strakosha","Brentford",0,"£4.3"
"Dubravka","Manchester Utd",0,"£4.2"
"Ward","Leicester",49,"£4.1"
"Balcombe","Brentford",0,"£4.0"
"Begović","Everton",9,"£4.0"
"Gazzaniga","Fulham",0,"£4.0"
"Kelleher","Liverpool",0,"£4.0"
"Steffen","Manchester City",0,"£4.0"
"Lis","Southampton",0,"£4.0"
"Matthews","Crystal Palace",0,"£4.0"
"Scherpen","Brighton",0,"£4.0"
"Randolph","West Ham",0,"£4.0"
"Robles","Leeds",0,"£4.0"
"Smithies","Leicester",0,"£4.0"
"Whitworth","Crystal Palace",0,"£4.0"
"H.Davies","Liverpool",0,"£4.0"
"Kovár","Manchester Utd",0,"£4.0"
"Karius","Newcastle",0,"£4.0"
"Jakupović","Everton",0,"£4.0"
"Cox","Brentford",0,"£4.0"
"Bettinelli","Chelsea",0,"£4.0"
"Goodman","Crystal Palace",0,"£4.0"
"Plain","Bournemouth",0,"£4.0"
"Hein","Arsenal",0,"£4.0"
"Bishop","Manchester Utd",0,"£4.0"
"Turner","Arsenal",0,"£3.9"
"Olsen","Aston Villa",-1,"£3.9"
"Dennis","Bournemouth",0,"£3.9"
"Steele","Brighton",0,"£3.9"
"Klaesson","Leeds",0,"£3.9"
"Heaton","Manchester Utd",0,"£3.9"
"Darlow","Newcastle",0,"£3.9"
"Caballero","Southampton",0,"£3.9"
"Forster","Tottenham",0,"£3.9"
"Austin","Tottenham",0,"£3.9"
"Šarkić","Wolves",0,"£3.9"
"Adrián","Liverpool",0,"£3.9"
"Hennessey","Nottingham Forest",0,"£3.9"
"Iversen","Leicester",0,"£3.9"
"Smith","Wolves",0,"£3.9"
"Ortega","Manchester City",0,"£3.8"
"Carson","Manchester City",0,"£3.8"
"Cancelo","Manchester City",69,"£7.4"
"Alexander-Arnold","Liverpool",38,"£7.2"
"Robertson","Liverpool",34,"£6.7"
"Van Dijk","Liverpool",45,"£6.5"
"Matip","Liverpool",4,"£5.9"
"Dias","Manchester City",40,"£5.9"
"Trippier","Newcastle",89,"£5.9"
"Chilwell","Chelsea",32,"£5.8"
"James","Chelsea",26,"£5.8"
"Laporte","Manchester City",8,"£5.8"
"Perišić","Tottenham",44,"£5.5"
"Koulibaly","Chelsea",28,"£5.5"
"Thiago Silva","Chelsea",36,"£5.4"
"Stones","Manchester City",31,"£5.4"
"Saliba","Arsenal",68,"£5.3"
"Alonso","Chelsea",0,"£5.3"
"Dier","Tottenham",49,"£5.3"
"Gabriel","Arsenal",67,"£5.1"
"Cucurella","Chelsea",30,"£5.1"
"Canós","Brentford",4,"£5.0"
"Sarr","Chelsea",0,"£5.0"
"Aké","Manchester City",26,"£5.0"
"Zinchenko","Arsenal",29,"£5.0"
"Telles","Manchester Utd",0,"£5.0"
"Coady","Everton",52,"£5.0"
"Semedo","Wolves",11,"£5.0"
"Akanji","Manchester City",25,"£5.0"
"Dallas","Leeds",0,"£4.9"
"Walker","Manchester City",23,"£4.9"
"Schär","Newcastle",60,"£4.9"
"Davies","Tottenham",41,"£4.9"
"Romero","Tottenham",21,"£4.9"
"Emerson Royal","Tottenham",27,"£4.9"
"Hickey","Brentford",13,"£4.9"
"Azpilicueta","Chelsea",29,"£4.8"
"Kristensen","Leeds",22,"£4.8"
"Konaté","Liverpool",3,"£4.8"
"Varane","Manchester Utd",31,"£4.8"
"Dalot","Manchester Utd",49,"£4.8"
"Targett","Newcastle",22,"£4.8"
"Cresswell","West Ham",36,"£4.8"
"Dawson","West Ham",13,"£4.8"
"Aguerd","West Ham",0,"£4.8"
"Lenglet","Tottenham",12,"£4.8"
"Tierney","Arsenal",19,"£4.7"
"Diego Carlos","Aston Villa",3,"£4.7"
"Dunk","Brighton",38,"£4.7"
"Chalobah","Chelsea",21,"£4.7"
"Castagne","Leicester",59,"£4.7"
"Maguire","Manchester Utd",5,"£4.7"
"Shaw","Manchester Utd",28,"£4.7"
"White","Arsenal",58,"£4.6"
"Digne","Aston Villa",23,"£4.6"
"Cash","Aston Villa",17,"£4.6"
"Veltman","Brighton",38,"£4.6"
"Doherty","Tottenham",17,"£4.6"
"Mee","Brentford",52,"£4.6"
"Tavares","Arsenal",0,"£4.5"
"Pablo Marí","Arsenal",0,"£4.5"
"Ajer","Brentford",15,"£4.5"
"Henry","Brentford",38,"£4.5"
"Bech","Brentford",3,"£4.5"
"Webster","Brighton",33,"£4.5"
"Ward","Crystal Palace",30,"£4.5"
"Clyne","Crystal Palace",9,"£4.5"
"Andersen","Crystal Palace",37,"£4.5"
"Mitchell","Crystal Palace",36,"£4.5"
"Coleman","Everton",21,"£4.5"
"Mykolenko","Everton",43,"£4.5"
"Ream","Fulham",30,"£4.5"
"Tosin","Fulham",21,"£4.5"
"Ayling","Leeds",8,"£4.5"
"Koch","Leeds",21,"£4.5"
"Struijk","Leeds",40,"£4.5"
"Firpo","Leeds",2,"£4.5"
"Gomez","Liverpool",36,"£4.5"
"Tsimikas","Liverpool",21,"£4.5"
"Clark","Newcastle",0,"£4.5"
"Burn","Newcastle",48,"£4.5"
"Laryea","Nottingham Forest",0,"£4.5"
"Bella-Kotchap","Southampton",16,"£4.5"
"R.Sessegnon","Tottenham",31,"£4.5"
