Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Brenden Aaronson,us USA,MF,Leeds United,22-013,2000,12,12,1014,11.3,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,1.8,1.8,2.4,4.2,0.16,0.22,0.37,0.16,0.37,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-114,1996,12,10,913,10.1,3,1,3,0,0,0,0,0.30,0.10,0.39,0.30,0.39,3.1,3.1,1.4,4.5,0.31,0.14,0.45,0.31,0.45,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,23-263,1999,11,11,990,11.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.9,0.9,0.00,0.08,0.08,0.00,0.08,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-041,1997,10,10,900,10.0,1,0,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,0.1,0.1,0.0,0.2,0.01,0.00,0.02,0.01,0.02,Matches,c81d773d
5,Rayan Aït Nouri,fr FRA,DF,Wolves,21-151,2001,9,7,649,7.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,1.2,0.05,0.12,0.16,0.05,0.16,Matches,9b398aea
6,Kristoffer Ajer,no NOR,DF,Brentford,24-201,1998,6,6,502,5.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,a8c0acb7
7,Manuel Akanji,ch SUI,DF,Manchester City,27-108,1995,6,6,521,5.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.05,0.00,0.05,0.05,0.05,Matches,89ac64a6
8,Nathan Aké,nl NED,DF,Manchester City,27-259,1995,7,6,481,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,eaeca114
9,Marc Albrighton,eng ENG,MF,Leicester City,32-351,1989,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.22,0.00,0.22,0.22,0.22,Matches,b827d5b3
10,Thiago Alcántara,es ESP,MF,Liverpool,31-207,1991,6,6,464,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.01,0.07,0.08,0.01,0.08,Matches,77e84962
11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-028,1998,12,10,813,9.0,1,0,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,1.0,1.0,1.9,2.9,0.11,0.21,0.33,0.11,0.33,Matches,cd1acf9d
12,Alisson,br BRA,GK,Liverpool,30-033,1992,12,12,1080,12.0,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,0.0,0.0,0.3,0.3,0.00,0.02,0.02,0.00,0.02,Matches,7a2e46a8
13,Dele Alli,eng ENG,MF,Everton,26-207,1996,2,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,cea4ee8f
14,Miguel Almirón,py PAR,FW,Newcastle Utd,28-267,1994,13,13,1085,12.1,7,0,7,0,0,0,0,0.58,0.00,0.58,0.58,0.58,4.2,4.2,0.7,4.9,0.35,0.06,0.40,0.35,0.40,Matches,862a1c15
15,Julián Álvarez,ar ARG,FWMF,Manchester City,22-277,2000,10,2,296,3.3,2,0,2,0,0,0,0,0.61,0.00,0.61,0.61,0.61,0.8,0.8,0.3,1.1,0.25,0.10,0.34,0.25,0.34,Matches,15ab5a2b
16,Daniel Amartey,gh GHA,DF,Leicester City,27-318,1994,10,8,735,8.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.04,0.04,0.00,0.04,Matches,1a4ef233
17,Joachim Andersen,dk DEN,DF,Crystal Palace,26-157,1996,11,11,990,11.0,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.9,0.9,0.4,1.2,0.08,0.03,0.11,0.08,0.11,Matches,e34fc66d
18,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,19-363,2002,6,0,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,1.0,0.46,0.49,0.96,0.46,0.96,Matches,de31038e
19,Jaidon Anthony,eng ENG,MFDF,Bournemouth,22-338,1999,9,1,249,2.8,1,0,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,0.5,0.5,0.1,0.5,0.17,0.03,0.20,0.17,0.20,Matches,e4238fb1
20,Michail Antonio,jm JAM,FW,West Ham,32-221,1990,13,6,562,6.2,2,1,2,0,0,1,0,0.32,0.16,0.48,0.32,0.48,2.0,2.0,0.4,2.4,0.32,0.07,0.39,0.32,0.39,Matches,ac05f970
21,Antony,br BRA,MF,Manchester Utd,22-253,2000,6,6,491,5.5,3,0,3,0,0,1,0,0.55,0.00,0.55,0.55,0.55,1.6,1.6,0.4,2.0,0.30,0.07,0.37,0.30,0.37,Matches,99127249
22,Cameron Archer,eng ENG,MF,Aston Villa,20-330,2001,5,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,05e8ca6d
23,Alphonse Areola,fr FRA,GK,West Ham,29-250,1993,2,0,107,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2f965a72
24,Joe Aribo,ng NGA,MFFW,Southampton,26-106,1996,13,10,908,10.1,2,0,2,0,0,1,0,0.20,0.00,0.20,0.20,0.20,1.4,1.4,0.8,2.2,0.14,0.08,0.22,0.14,0.22,Matches,328f7d51
25,Adam Armstrong,eng ENG,FWMF,Southampton,25-267,1997,12,10,785,8.7,1,1,1,0,0,0,0,0.11,0.11,0.23,0.11,0.23,0.9,0.9,0.6,1.5,0.11,0.07,0.17,0.11,0.17,Matches,68c720b5
26,Stuart Armstrong,sct SCO,MF,Southampton,30-219,1992,12,5,569,6.3,1,0,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,1.0,1.0,0.9,1.9,0.16,0.14,0.30,0.16,0.30,Matches,97333cf5
27,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-032,1994,6,6,495,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,28d596a0
28,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-139,1989,5,3,242,2.7,1,0,1,0,0,0,0,0.37,0.00,0.37,0.37,0.37,0.2,0.2,0.3,0.5,0.07,0.13,0.20,0.07,0.20,Matches,d5dd5f1f
