Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37,£ 515000 (€ 593465 $583136),£ 26780000 (€ 30860193 $30323093),,dea698d9
2,Kevin De Bruyne,be BEL,MF,Manchester City,31,£ 400000 (€ 460944 $452921),£ 20800000 (€ 23969082 $23551917),,e46012d4
3,David de Gea,es ESP,GK,Manchester Utd,31,£ 375000 (€ 432135 $424614),£ 19500000 (€ 22471014 $22079922),,7ba6d84e
4,Erling Haaland,no NOR,FW,Manchester City,22,£ 375000 (€ 432135 $424614),£ 19500000 (€ 22471014 $22079922),,1f44ac21
5,Jadon Sancho,eng ENG,MFFW,Manchester Utd,22,£ 350000 (€ 403326 $396306),£ 18200000 (€ 20972947 $20607927),,dbf053da
6,Mohamed Salah,eg EGY,FWMF,Liverpool,30,£ 350000 (€ 403326 $396306),£ 18200000 (€ 20972947 $20607927),,e342ad68
7,Raphaël Varane,fr FRA,DF,Manchester Utd,29,£ 340000 (€ 391802 $384983),£ 17680000 (€ 20373719 $20019129),,9f8e9423
8,Raheem Sterling,eng ENG,FWDF,Chelsea,27,£ 325000 (€ 374517 $367999),£ 16900000 (€ 19474879 $19135933),,b400bde0
9,Casemiro,br BRA,MF,Manchester Utd,30,£ 300000 (€ 345708 $339691),£ 15600000 (€ 17976811 $17663938),Unverified estimation,4d224fe8
10,Jack Grealish,eng ENG,FWMF,Manchester City,26,£ 300000 (€ 345708 $339691),£ 15600000 (€ 17976811 $17663938),,b0b4fd3e
11,Kalidou Koulibaly,sn SEN,DF,Chelsea,31,£ 295000 (€ 339946 $334030),£ 15340000 (€ 17677198 $17369539),,da974c7b
12,N'Golo Kanté,fr FRA,MF,Chelsea,31,£ 290000 (€ 334184 $328368),£ 15080000 (€ 17377584 $17075140),,b9fbae28
13,Gabriel Jesus,br BRA,FW,Arsenal,25,£ 265000 (€ 305375 $300060),£ 13780000 (€ 15879517 $15603145),,b66315ae
14,Anthony Martial,fr FRA,FW,Manchester Utd,26,£ 250000 (€ 288090 $283076),£ 13000000 (€ 14980676 $14719948),,8b788c01
15,João Cancelo,pt POR,DF,Manchester City,28,£ 250000 (€ 288090 $283076),£ 13000000 (€ 14980676 $14719948),,bd6351cd
16,John Stones,eng ENG,DF,Manchester City,28,£ 250000 (€ 288090 $283076),£ 13000000 (€ 14980676 $14719948),,5eecec3d
17,Reece James,eng ENG,DFMF,Chelsea,22,£ 250000 (€ 288090 $283076),£ 13000000 (€ 14980676 $14719948),,1265a93a
18,Bruno Fernandes,pt POR,MF,Manchester Utd,27,£ 240000 (€ 276566 $271753),£ 12480000 (€ 14381449 $14131150),,507c7bdf
19,Phil Foden,eng ENG,MFFW,Manchester City,22,£ 225000 (€ 259281 $254768),£ 11700000 (€ 13482608 $13247953),,ed1e53f3
20,Virgil van Dijk,nl NED,DF,Liverpool,31,£ 220000 (€ 253519 $249107),£ 11440000 (€ 13182995 $12953554),,e06683ca
21,Rodri,es ESP,MFDF,Manchester City,26,£ 220000 (€ 253519 $249107),£ 11440000 (€ 13182995 $12953554),,6434f10d
22,Thomas Partey,gh GHA,MF,Arsenal,29,£ 200000 (€ 230472 $226461),£ 10400000 (€ 11984541 $11775958),,529f49ab
23,Antony,br BRA,MF,Manchester Utd,22,£ 200000 (€ 230472 $226461),£ 10400000 (€ 11984541 $11775958),,99127249
24,Marcus Rashford,eng ENG,FWMF,Manchester Utd,24,£ 200000 (€ 230472 $226461),£ 10400000 (€ 11984541 $11775958),,a1d5bd30
25,Harry Kane,eng ENG,FW,Tottenham,29,£ 200000 (€ 230472 $226461),£ 10400000 (€ 11984541 $11775958),,21a66f6a
26,Thiago Alcántara,es ESP,MF,Liverpool,31,£ 200000 (€ 230472 $226461),£ 10400000 (€ 11984541 $11775958),,77e84962
27,Wesley Fofana,fr FRA,DF,Chelsea,21,£ 200000 (€ 230472 $226461),£ 10400000 (€ 11984541 $11775958),,132a82f1
28,Jesse Lingard,eng ENG,MFFW,Nott'ham Forest,29,£ 200000 (€ 230472 $226461),£ 10400000 (€ 11984541 $11775958),,810e3c74
29,Harry Maguire,eng ENG,DF,Manchester Utd,29,£ 190000 (€ 218948 $215138),£ 9880000 (€ 11385314 $11187161),,d8931174
30,Son Heung-min,kr KOR,MFFW,Tottenham,30,£ 190000 (€ 218948 $215138),£ 9880000 (€ 11385314 $11187161),,92e7e919
31,Ben Chilwell,eng ENG,DFMF,Chelsea,25,£ 190000 (€ 218948 $215138),£ 9880000 (€ 11385314 $11187161),,d2424d1b
